534  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Neither @ContextConfiguration nor @ContextHierarchy found for test class [ru.mirea.task24.repositories.AddressesRepositoryTest], using SpringBootContextLoader
569  [Test worker] INFO  o.s.t.c.s.AbstractContextLoader – Could not detect default resource locations for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
572  [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils – Could not detect default configuration classes for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: AddressesRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
872  [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper – Found @SpringBootConfiguration ru.mirea.task24.Application for test class ru.mirea.task24.repositories.AddressesRepositoryTest
885  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
941  [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@ce5a68e, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@9d157ff, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2f162cc0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5df417a7, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7c041b41, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7f69d591, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61078690, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1cb3ec38, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@403132fc, org.springframework.test.context.event.EventPublishingTestExecutionListener@71c5b236, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@2cab9998, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2f7a7219, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@669513d8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@3a1d593e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4a8a60bc, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@361c294e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7859e786]
2279 [background-preinit] INFO  o.h.validator.internal.util.Version – HV000001: Hibernate Validator 6.2.3.Final
1215 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
1280 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1fac1d5c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@108a46d6, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@7a8406c2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@17690e14, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6850b758, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2a2ef072, org.springframework.test.context.transaction.TransactionalTestExecutionListener@704641e3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f00f851, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@4207609e, org.springframework.test.context.event.EventPublishingTestExecutionListener@1f77b5cc, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@5d7ca698, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@75961f16, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@c6c82aa, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2e179f3e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@16e7b402, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@534c6767, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3bddc676]
2472 [background-preinit] INFO  o.h.validator.internal.util.Version – HV000001: Hibernate Validator 6.2.3.Final
2491 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – Starting AddressesRepositoryTest using Java 17.0.3 on ASUSLaptop-X509DA-D509DA with PID 34908 (started by shiwarai in /media/shiwarai/YandexDisk/Учёба/Шаблоны Java/JavaPatternMirea/src/ru/mirea/task24)
2493 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – No active profile set, falling back to 1 default profile: "default"
3835 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
4043 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 180 ms. Found 3 JPA repository interfaces.
4234 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor – Replacing 'dataSource' DataSource bean with embedded version
4838 [Test worker] INFO  o.s.j.d.e.EmbeddedDatabaseFactory – Starting embedded database: url='jdbc:h2:mem:31ace5cd-b127-47b8-9f1b-91bb2977ade8;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
5886 [Test worker] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
6347 [Test worker] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.6.8.Final
6518 [Test worker] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
6976 [Test worker] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
8636 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
8660 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
10051 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – Started AddressesRepositoryTest in 8.651 seconds (JVM running for 13.478)
10111 [Test worker] INFO  o.s.t.c.t.TransactionContext – Began transaction (1) for test context [DefaultTestContext@4866a755 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@1361e880, testMethod = positiveAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3506bc8b testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@23f3dbf0, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@31ff6309, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@e929d684, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3672276e, [ImportsContextCustomizer@4bac0be5 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@472698d, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@2e53b094, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@28269c65]; rollback [true]
10830 [Test worker] INFO  o.s.t.c.t.TransactionContext – Rolled back transaction for test: [DefaultTestContext@4866a755 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@1361e880, testMethod = positiveAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3506bc8b testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@23f3dbf0, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@31ff6309, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@e929d684, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3672276e, [ImportsContextCustomizer@4bac0be5 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@472698d, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@2e53b094, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
10840 [Test worker] INFO  o.s.t.c.t.TransactionContext – Began transaction (1) for test context [DefaultTestContext@4866a755 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@106f2425, testMethod = negativeAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3506bc8b testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@23f3dbf0, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@31ff6309, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@e929d684, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3672276e, [ImportsContextCustomizer@4bac0be5 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@472698d, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@2e53b094, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]; transaction manager [org.springframework.orm.jpa.JpaTransactionManager@28269c65]; rollback [true]
10865 [Test worker] INFO  o.s.t.c.t.TransactionContext – Rolled back transaction for test: [DefaultTestContext@4866a755 testClass = AddressesRepositoryTest, testInstance = ru.mirea.task24.repositories.AddressesRepositoryTest@106f2425, testMethod = negativeAddressesTest@AddressesRepositoryTest, testException = [null], mergedContextConfiguration = [MergedContextConfiguration@3506bc8b testClass = AddressesRepositoryTest, locations = '{}', classes = '{class ru.mirea.task24.Application}', contextInitializerClasses = '[]', activeProfiles = '{}', propertySourceLocations = '{}', propertySourceProperties = '{org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTestContextBootstrapper=true}', contextCustomizers = set[org.springframework.boot.test.autoconfigure.OverrideAutoConfigurationContextCustomizerFactory$DisableAutoConfigurationContextCustomizer@23f3dbf0, org.springframework.boot.test.autoconfigure.actuate.metrics.MetricsExportContextCustomizerFactory$DisableMetricExportContextCustomizer@31ff6309, org.springframework.boot.test.autoconfigure.filter.TypeExcludeFiltersContextCustomizer@351584c0, org.springframework.boot.test.autoconfigure.properties.PropertyMappingContextCustomizer@e929d684, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverContextCustomizerFactory$Customizer@3672276e, [ImportsContextCustomizer@4bac0be5 key = [org.springframework.boot.autoconfigure.cache.CacheAutoConfiguration, org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration, org.springframework.boot.autoconfigure.flyway.FlywayAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration, org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration, org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration, org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration, org.springframework.boot.autoconfigure.sql.init.SqlInitializationAutoConfiguration, org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration, org.springframework.boot.test.autoconfigure.jdbc.TestDatabaseAutoConfiguration, org.springframework.boot.test.autoconfigure.orm.jpa.TestEntityManagerAutoConfiguration]], org.springframework.boot.test.context.filter.ExcludeFilterContextCustomizer@472698d, org.springframework.boot.test.json.DuplicateJsonObjectContextCustomizerFactory$DuplicateJsonObjectContextCustomizer@2e53b094, org.springframework.boot.test.mock.mockito.MockitoContextCustomizer@0, org.springframework.boot.test.context.SpringBootTestArgs@1, org.springframework.boot.test.context.SpringBootTestWebEnvironment@0], contextLoader = 'org.springframework.boot.test.context.SpringBootContextLoader', parent = [null]], attributes = map['org.springframework.test.context.event.ApplicationEventsTestExecutionListener.recordApplicationEvents' -> false]]
11139 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Closing JPA EntityManagerFactory for persistence unit 'default'
11141 [SpringApplicationShutdownHook] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl – HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
1167 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Neither @ContextConfiguration nor @ContextHierarchy found for test class [ru.mirea.task24.repositories.AddressesRepositoryTest], using SpringBootContextLoader
1195 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader – Could not detect default resource locations for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: no resource found for suffixes {-context.xml, Context.groovy}.
1198 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils – Could not detect default configuration classes for test class [ru.mirea.task24.repositories.AddressesRepositoryTest]: AddressesRepositoryTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
1661 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper – Found @SpringBootConfiguration ru.mirea.task24.Application for test class ru.mirea.task24.repositories.AddressesRepositoryTest
1674 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
1762 [Test worker] INFO  o.s.b.t.a.o.j.DataJpaTestContextBootstrapper – Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3e47a03, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7d9ba6c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@8deb645, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7dd611c8, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5d425813, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1702830d, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6a937336, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@278667fd, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@684b31de, org.springframework.test.context.event.EventPublishingTestExecutionListener@6b52dd31, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@1a2909ae, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@e042c99, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3f702946, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@42b6d0cc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1000d54d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3f4f5330, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@14b7786]
3854 [background-preinit] INFO  o.h.validator.internal.util.Version – HV000001: Hibernate Validator 6.2.3.Final
3872 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – Starting AddressesRepositoryTest using Java 17.0.3 on ASUSLaptop-X509DA-D509DA with PID 35223 (started by shiwarai in /media/shiwarai/YandexDisk/Учёба/Шаблоны Java/JavaPatternMirea/src/ru/mirea/task24)
3878 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – No active profile set, falling back to 1 default profile: "default"
6371 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Bootstrapping Spring Data JPA repositories in DEFAULT mode.
6871 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate – Finished Spring Data repository scanning in 451 ms. Found 3 JPA repository interfaces.
7163 [Test worker] INFO  o.s.b.t.a.j.TestDatabaseAutoConfiguration$EmbeddedDataSourceBeanFactoryPostProcessor – Replacing 'dataSource' DataSource bean with embedded version
8729 [Test worker] INFO  o.s.j.d.e.EmbeddedDatabaseFactory – Starting embedded database: url='jdbc:h2:mem:2e1e22e0-56b7-49e2-8a97-2722277ff313;DB_CLOSE_DELAY=-1;DB_CLOSE_ON_EXIT=false', username='sa'
10779 [Test worker] INFO  o.h.jpa.internal.util.LogHelper – HHH000204: Processing PersistenceUnitInfo [name: default]
11088 [Test worker] INFO  org.hibernate.Version – HHH000412: Hibernate ORM core version 5.6.8.Final
11253 [Test worker] INFO  o.h.annotations.common.Version – HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
12004 [Test worker] INFO  org.hibernate.dialect.Dialect – HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL10Dialect
15129 [Test worker] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator – HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
15162 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean – Initialized JPA EntityManagerFactory for persistence unit 'default'
16509 [Test worker] INFO  r.m.t.r.AddressesRepositoryTest – Started AddressesRepositoryTest in 14.571 seconds (JVM running for 20.504)
